Route Name,Route Link,Bus Name,Bus Type,Departure Time,Duration,Arrival Time,Star Rating,Price,Seats Available
Guwahati to Nagaon (Assam) Bus,https://www.redbus.in/bus-tickets/guwahati-to-nagaon,Assam State Transport Corporation (ASTC) - 146146,Bharat Benz A/C Seater (2+2),13:00,03h 00m,16:00,4.1,191.0,19.0
Guwahati to Nagaon (Assam) Bus,https://www.redbus.in/bus-tickets/guwahati-to-nagaon,Assam State Transport Corporation (ASTC) - 146079,Bharat Benz A/C Seater (2+2),15:00,03h 00m,18:00,3.6,191.0,19.0
Guwahati to Nagaon (Assam) Bus,https://www.redbus.in/bus-tickets/guwahati-to-nagaon,Assam State Transport Corporation (ASTC) - 174839,Bharat Benz A/C Seater (2+2),15:15,02h 25m,17:40,4.4,191.0,19.0
Guwahati to Nagaon (Assam) Bus,https://www.redbus.in/bus-tickets/guwahati-to-nagaon,Mahi Travels(Under ASTC),A/C Seater (2+2),10:50,02h 40m,13:30,3.1,333.33,19.0
Guwahati to Nagaon (Assam) Bus,https://www.redbus.in/bus-tickets/guwahati-to-nagaon,Orient Transline,A/C Seater (2+1),11:30,02h 55m,14:25,4.2,280.0,19.0
Guwahati to Nagaon (Assam) Bus,https://www.redbus.in/bus-tickets/guwahati-to-nagaon,Kareng Travels,Non AC Seater (2+2),11:45,03h 00m,14:45,4.5,333.33,19.0
Guwahati to Nagaon (Assam) Bus,https://www.redbus.in/bus-tickets/guwahati-to-nagaon,Orient Transline,A/C Seater (2+1),12:15,02h 45m,15:00,4.1,333.33,19.0
Guwahati to Nagaon (Assam) Bus,https://www.redbus.in/bus-tickets/guwahati-to-nagaon,Orient Transline,A/C Seater (2+1),13:00,02h 45m,15:45,3.3,494.0,19.0
Guwahati to Nagaon (Assam) Bus,https://www.redbus.in/bus-tickets/guwahati-to-nagaon,Mahi Travels(Under ASTC),A/C Seater (2+2),14:15,02h 00m,16:15,4.0,494.0,19.0
Guwahati to Nagaon (Assam) Bus,https://www.redbus.in/bus-tickets/guwahati-to-nagaon,Anindita Travels,NON A/C Seater (2+1),12:30,03h 15m,15:45,2.0,494.0,19.0
Guwahati to Nagaon (Assam) Bus,https://www.redbus.in/bus-tickets/guwahati-to-nagaon,DESTINY TRAVELS,NON A/C Seater (2+1),17:30,03h 00m,20:30,2.5,494.0,19.0
Guwahati to Nagaon (Assam) Bus,https://www.redbus.in/bus-tickets/guwahati-to-nagaon,Nishigandha(Divya Tours & Travels),A/C Seater (2+1),21:15,02h 35m,23:50,3.0,494.0,19.0
Nagaon (Assam) to Guwahati Bus,https://www.redbus.in/bus-tickets/nagaon-to-guwahati,TRINAYAN TRANSPORT (Under ASTC),A/C Seater (2+1),12:15,02h 15m,14:30,3.5,200.0,19.0
Nagaon (Assam) to Guwahati Bus,https://www.redbus.in/bus-tickets/nagaon-to-guwahati,JOY HANUMAN,Non AC Seater (2+2),13:30,03h 00m,16:30,3.1,291.57,19.0
Nagaon (Assam) to Guwahati Bus,https://www.redbus.in/bus-tickets/nagaon-to-guwahati,Baikuntha Transport Service,Bharat Benz A/C Seater (2+1),14:00,03h 00m,17:00,3.8,324.04,19.0
Nagaon (Assam) to Guwahati Bus,https://www.redbus.in/bus-tickets/nagaon-to-guwahati,Chartered Bus - ASTC,Volvo Multi-Axle I-Shift B11R Semi Sleeper (2+2),14:30,02h 30m,17:00,4.5,280.22,19.0
Nagaon (Assam) to Guwahati Bus,https://www.redbus.in/bus-tickets/nagaon-to-guwahati,Chartered Bus - ASTC,Volvo AC Seater Pushback 2+2,16:00,02h 30m,18:30,4.7,300.0,19.0
Nagaon (Assam) to Guwahati Bus,https://www.redbus.in/bus-tickets/nagaon-to-guwahati,Chartered Bus - ASTC,Volvo AC Seater Pushback 2+2,17:00,02h 15m,19:15,4.4,494.0,19.0
Nagaon (Assam) to Guwahati Bus,https://www.redbus.in/bus-tickets/nagaon-to-guwahati,Kareng Travels,Non AC Seater (2+1),14:15,02h 30m,16:45,1.5,494.0,19.0
Nagaon (Assam) to Guwahati Bus,https://www.redbus.in/bus-tickets/nagaon-to-guwahati,PANKAJ TRAVELS,AC Seater (2+2),14:50,03h 00m,17:50,1.0,494.0,19.0
Nagaon (Assam) to Guwahati Bus,https://www.redbus.in/bus-tickets/nagaon-to-guwahati,Christina Travels,NON A/C Seater (2+2),16:00,02h 20m,18:20,3.0,494.0,19.0
Dhubri to Guwahati Bus,https://www.redbus.in/bus-tickets/dhubri-to-guwahati,MAA MONOSHA TRAVELS,NON A/C Seater (2+1),20:00,07h 30m,03:30,3.5,350.0,38.0
Dhubri to Guwahati Bus,https://www.redbus.in/bus-tickets/dhubri-to-guwahati,Yatra,Non AC Seater (2+2),20:15,07h 15m,03:30,2.3,350.0,40.0
Dhubri to Guwahati Bus,https://www.redbus.in/bus-tickets/dhubri-to-guwahati,Yatra,Non AC Seater (2+2),11:15,07h 30m,18:45,1.5,300.0,19.0
Dhubri to Guwahati Bus,https://www.redbus.in/bus-tickets/dhubri-to-guwahati,Yatra,Non AC Seater (2+2),13:15,07h 15m,20:30,3.0,300.0,19.0
Dhubri to Guwahati Bus,https://www.redbus.in/bus-tickets/dhubri-to-guwahati,Rizwan Travels,Non AC Seater (2+2),12:15,07h 00m,19:15,3.0,300.0,19.0
Dhubri to Guwahati Bus,https://www.redbus.in/bus-tickets/dhubri-to-guwahati,Rizwan Travels,Non AC Seater (2+2),12:30,07h 30m,20:00,3.0,300.0,19.0
Jorhat to Dibrugarh Bus,https://www.redbus.in/bus-tickets/jorhat-to-dibrugarh,Aniruddha Travels,AC Seater (2+2),11:45,04h 30m,16:15,3.0,604.69,19.0
Jorhat to Dibrugarh Bus,https://www.redbus.in/bus-tickets/jorhat-to-dibrugarh,MADHURIKA TRAVELS,A/C Seater (2+1),12:45,04h 15m,17:00,4.2,550.0,19.0
Jorhat to Dibrugarh Bus,https://www.redbus.in/bus-tickets/jorhat-to-dibrugarh,Chartered Bus - ASTC,Volvo AC Seater Pushback 2+2,13:30,03h 45m,17:15,4.8,494.0,19.0
Jorhat to Dibrugarh Bus,https://www.redbus.in/bus-tickets/jorhat-to-dibrugarh,SHIVAM TRAVELS,Bharat Benz A/C Seater (2+1),13:30,03h 30m,17:00,3.8,494.0,19.0
Jorhat to Dibrugarh Bus,https://www.redbus.in/bus-tickets/jorhat-to-dibrugarh,Bashudev Transline (Under ASTC),A/C Seater (2+1),14:10,03h 50m,18:00,4.4,494.0,19.0
Jorhat to Dibrugarh Bus,https://www.redbus.in/bus-tickets/jorhat-to-dibrugarh,NETWORK TRAVELS,A/C Seater Push Back (2+1),12:15,03h 45m,16:00,2.9,494.0,19.0
North Lakhimpur to Jorhat Bus,https://www.redbus.in/bus-tickets/north-lakhimpur-to-jorhat,Sylvan DEE Transport,Non AC Seater (2+1),18:00,10h 30m,04:30,2.8,560.0,23.0
North Lakhimpur to Sibsagar Bus,https://www.redbus.in/bus-tickets/north-lakhimpur-to-sibsagar,Assam State Transport Corporation (ASTC) - 173044,Non AC Seater (2+2),13:00,03h 30m,16:30,3.0,220.0,23.0
North Lakhimpur to Sibsagar Bus,https://www.redbus.in/bus-tickets/north-lakhimpur-to-sibsagar,Sylvan DEE Transport,Non AC Seater (2+1),18:00,11h 30m,05:30,1.0,660.0,19.0
Guwahati to Dhubri Bus,https://www.redbus.in/bus-tickets/guwahati-to-dhubri,Assam State Transport Corporation (ASTC) - 150574,Bharat Benz A/C Seater (2+2),12:00,07h 00m,19:00,3.8,410.0,19.0
Guwahati to Dhubri Bus,https://www.redbus.in/bus-tickets/guwahati-to-dhubri,Rizwan Travels,A/C Seater (2+2),13:30,06h 00m,19:30,1.4,390.0,19.0
Guwahati to Dhubri Bus,https://www.redbus.in/bus-tickets/guwahati-to-dhubri,SREE CHAITANYA,Non AC Seater (2+2),17:30,05h 30m,23:00,3.0,300.0,19.0
Dibrugarh to Jorhat Bus,https://www.redbus.in/bus-tickets/dibrugarh-to-jorhat,Basudev Transline,A/C Seater (2+2),15:15,04h 25m,19:40,3.3,250.0,30.0
Dibrugarh to Jorhat Bus,https://www.redbus.in/bus-tickets/dibrugarh-to-jorhat,Maa Laxmi,NON A/C Seater Push Back (2+1),17:00,04h 30m,21:30,5.0,250.0,34.0
Dibrugarh to Jorhat Bus,https://www.redbus.in/bus-tickets/dibrugarh-to-jorhat,Trishul Transport Service,A/C Seater / Sleeper (2+1),19:15,03h 40m,22:55,3.8,700.0,19.0
Dibrugarh to Jorhat Bus,https://www.redbus.in/bus-tickets/dibrugarh-to-jorhat,Baikuntha Transport Service,Bharat Benz A/C Seater /Sleeper (2+1),19:30,03h 45m,23:15,3.1,494.0,19.0
Dibrugarh to Jorhat Bus,https://www.redbus.in/bus-tickets/dibrugarh-to-jorhat,Purple Wings Coaches,A/C Seater / Sleeper (2+1),19:55,04h 20m,00:15,5.0,494.0,19.0
Dibrugarh to Jorhat Bus,https://www.redbus.in/bus-tickets/dibrugarh-to-jorhat,Ankur Travels (Under ASTC),NON A/C Push Back (2+2),14:45,04h 45m,19:30,2.8,494.0,19.0
Dibrugarh to Jorhat Bus,https://www.redbus.in/bus-tickets/dibrugarh-to-jorhat,NEELAKANTHA (RIYA),Tempo Traveler NON A/C,15:15,03h 00m,18:15,1.0,494.0,19.0
Dibrugarh to Jorhat Bus,https://www.redbus.in/bus-tickets/dibrugarh-to-jorhat,Murugan RC Travels,NON A/C Seater (2+1),18:55,28h 05m,23:00,2.6,494.0,19.0
Jorhat to Tinsukia Bus,https://www.redbus.in/bus-tickets/jorhat-to-tinsukia,Aniruddha Travels,AC Seater (2+2),11:45,05h 45m,17:30,3.5,636.45,19.0
Jorhat to Tinsukia Bus,https://www.redbus.in/bus-tickets/jorhat-to-tinsukia,Aroti Travels (Under ASTC),Non AC Seater (2+2),12:20,05h 30m,17:50,4.1,494.0,19.0
Jorhat to Tinsukia Bus,https://www.redbus.in/bus-tickets/jorhat-to-tinsukia,Chartered Bus - ASTC,Volvo AC Seater Pushback 2+2,13:30,05h 00m,18:30,4.5,494.0,19.0
Jorhat to Tinsukia Bus,https://www.redbus.in/bus-tickets/jorhat-to-tinsukia,MADHURIKA TRAVELS,A/C Seater (2+1),12:45,05h 15m,18:00,1.8,494.0,19.0
Tezpur to Dibrugarh Bus,https://www.redbus.in/bus-tickets/tezpur-to-dibrugarh,Aniruddha Travels,NON A/C Seater/ Sleeper (2+1),19:30,08h 30m,04:00,3.6,550.0,26.0
Tezpur to Dibrugarh Bus,https://www.redbus.in/bus-tickets/tezpur-to-dibrugarh,Puja Transport,Non AC Seater (2+2),20:00,09h 00m,05:00,2.4,494.0,25.0
Tezpur to Dibrugarh Bus,https://www.redbus.in/bus-tickets/tezpur-to-dibrugarh,SANJEEBANI TRAVELS,Non A/C Seater / Sleeper (2+1),21:30,07h 30m,05:00,5.0,494.0,23.0
Tezpur to Dibrugarh Bus,https://www.redbus.in/bus-tickets/tezpur-to-dibrugarh,Puja Transport,NON AC Seater / Sleeper 2+1,20:00,08h 30m,04:30,3.3,494.0,18.0
Tezpur to Dibrugarh Bus,https://www.redbus.in/bus-tickets/tezpur-to-dibrugarh,J.S. Travels,Non AC Seater (2+1),20:30,07h 30m,04:00,2.1,494.0,28.0
Tezpur to Dibrugarh Bus,https://www.redbus.in/bus-tickets/tezpur-to-dibrugarh,Maa Laxmi,NON A/C Seater Push Back (2+1),22:15,08h 45m,07:00,1.9,494.0,5.0
Tezpur to Dibrugarh Bus,https://www.redbus.in/bus-tickets/tezpur-to-dibrugarh,Neha Travels,NON A/C Seater (2+2),22:30,08h 00m,06:30,1.7,494.0,5.0
Tezpur to Dibrugarh Bus,https://www.redbus.in/bus-tickets/tezpur-to-dibrugarh,Neha Travels,NON A/C Seater (2+2),22:10,05h 50m,04:00,1.9,494.0,5.0
North Lakhimpur to Tezpur Bus,https://www.redbus.in/bus-tickets/north-lakhimpur-to-tezpur,Sparrow Travels (Under ASTC),Non AC Seater (2+2),12:30,06h 15m,18:45,3.0,350.0,19.0
North Lakhimpur to Tezpur Bus,https://www.redbus.in/bus-tickets/north-lakhimpur-to-tezpur,DESTINY TRAVELS,NON A/C Seater (2+1),18:30,04h 30m,23:00,5.0,350.0,19.0
North Lakhimpur to Tezpur Bus,https://www.redbus.in/bus-tickets/north-lakhimpur-to-tezpur,Mayur Travels (Under ASTC),Non AC Seater (2+2),12:15,05h 45m,18:00,1.0,494.0,19.0
Guwahati to Biswanath Charali Bus,https://www.redbus.in/bus-tickets/guwahati-to-biswanath-charali,Orient Transline,A/C Seater (2+1),11:30,05h 40m,17:10,4.4,476.19,26.0
Guwahati to Biswanath Charali Bus,https://www.redbus.in/bus-tickets/guwahati-to-biswanath-charali,Orient Transline,A/C Seater (2+1),12:15,06h 40m,18:55,4.5,476.19,32.0
Guwahati to Biswanath Charali Bus,https://www.redbus.in/bus-tickets/guwahati-to-biswanath-charali,Orient Transline,A/C Seater (2+1),13:00,06h 10m,19:10,3.8,476.19,41.0
Guwahati to Biswanath Charali Bus,https://www.redbus.in/bus-tickets/guwahati-to-biswanath-charali,Mahi Travels(Under ASTC),A/C Seater (2+2),14:15,05h 15m,19:30,4.5,600.0,22.0
Guwahati to Biswanath Charali Bus,https://www.redbus.in/bus-tickets/guwahati-to-biswanath-charali,Shopuris Travels,Non AC Seater (2+1),17:00,05h 45m,22:45,3.2,550.0,26.0
Guwahati to Biswanath Charali Bus,https://www.redbus.in/bus-tickets/guwahati-to-biswanath-charali,Yatra Travels,NON A/C Seater (2+1),18:00,07h 30m,01:30,3.8,550.0,16.0
Guwahati to Biswanath Charali Bus,https://www.redbus.in/bus-tickets/guwahati-to-biswanath-charali,Yatra Travels,NON AC Seater/ Sleeper (2+1),18:45,05h 15m,00:00,4.0,500.0,35.0
Guwahati to Biswanath Charali Bus,https://www.redbus.in/bus-tickets/guwahati-to-biswanath-charali,RAYAN TRAVELS,Non A/C Seater / Sleeper (2+1),19:15,06h 45m,02:00,4.1,500.0,18.0
Guwahati to Biswanath Charali Bus,https://www.redbus.in/bus-tickets/guwahati-to-biswanath-charali,MAHARATHI TRANSPORT,Non AC Seater (2+1),21:15,05h 30m,02:45,4.0,500.0,41.0
Guwahati to Biswanath Charali Bus,https://www.redbus.in/bus-tickets/guwahati-to-biswanath-charali,Yatra Travels,NON A/C Seater / Sleeper (2+2),19:30,05h 40m,01:10,3.8,500.0,31.0
Guwahati to Biswanath Charali Bus,https://www.redbus.in/bus-tickets/guwahati-to-biswanath-charali,PARIJAT TRAVELS(UNDER ASTC),NON A/C Seater (2+1),19:35,06h 25m,02:00,3.2,648.23,39.0
Guwahati to Biswanath Charali Bus,https://www.redbus.in/bus-tickets/guwahati-to-biswanath-charali,Rishi India Travels,Non AC Seater (2+1),20:00,06h 00m,02:00,4.1,650.0,28.0
Guwahati to Biswanath Charali Bus,https://www.redbus.in/bus-tickets/guwahati-to-biswanath-charali,MAHARATHI TRANSPORT,NON A/C Seater (2+1),20:55,05h 50m,02:45,4.8,650.0,40.0
Guwahati to Biswanath Charali Bus,https://www.redbus.in/bus-tickets/guwahati-to-biswanath-charali,Chartered Bus - ASTC,AC Seater (2+2),20:00,04h 30m,00:30,4.0,550.0,8.0
Guwahati to Biswanath Charali Bus,https://www.redbus.in/bus-tickets/guwahati-to-biswanath-charali,Yatra Travels,A/C Seater / Sleeper (2+1),20:00,07h 15m,03:15,4.0,450.0,34.0
Guwahati to Biswanath Charali Bus,https://www.redbus.in/bus-tickets/guwahati-to-biswanath-charali,Yatra Travels,A/C Seater / Sleeper (2+1),21:00,05h 40m,02:40,3.7,700.0,6.0
Guwahati to Biswanath Charali Bus,https://www.redbus.in/bus-tickets/guwahati-to-biswanath-charali,Laxmi Travels,Bharat Benz A/C Seater /Sleeper (2+1),19:45,04h 05m,23:50,4.1,450.0,34.0
Guwahati to Biswanath Charali Bus,https://www.redbus.in/bus-tickets/guwahati-to-biswanath-charali,Yatra Travels,NON AC Seater/ Sleeper (2+1),20:30,05h 45m,02:15,5.0,650.0,3.0
Guwahati to Biswanath Charali Bus,https://www.redbus.in/bus-tickets/guwahati-to-biswanath-charali,BARBIE TRAVELS,A/C Seater Push Back (2+2),20:30,05h 20m,01:50,2.5,494.0,19.0
Guwahati to Biswanath Charali Bus,https://www.redbus.in/bus-tickets/guwahati-to-biswanath-charali,NORTH EAST TRAVELS(UNDER ASTC),NON A/C Seater (2+1),20:15,06h 15m,02:30,1.0,494.0,19.0
Guwahati to Biswanath Charali Bus,https://www.redbus.in/bus-tickets/guwahati-to-biswanath-charali,DESTINY TRAVELS,NON A/C Seater (2+1),17:30,18h 00m,11:30,2.8,494.0,19.0
Guwahati to Biswanath Charali Bus,https://www.redbus.in/bus-tickets/guwahati-to-biswanath-charali,DONYI POLO EXPRESS,NON A/C Seater (2+1),16:00,06h 50m,22:50,2.8,494.0,19.0
Guwahati to Biswanath Charali Bus,https://www.redbus.in/bus-tickets/guwahati-to-biswanath-charali,BLUE HILL TRAVELS INDIA LIMITED,NON A/C Seater Semi Sleeper (2+1),19:00,06h 00m,01:00,1.2,494.0,19.0
Guwahati to Biswanath Charali Bus,https://www.redbus.in/bus-tickets/guwahati-to-biswanath-charali,Priyanka,Non AC Seater (2+1),19:30,06h 00m,01:30,1.6,494.0,19.0
Guwahati to Biswanath Charali Bus,https://www.redbus.in/bus-tickets/guwahati-to-biswanath-charali,BLUE HILL TRAVELS INDIA LIMITED,NON A/C Seater Semi Sleeper (2+1),20:00,06h 00m,02:00,3.0,494.0,19.0
North Lakhimpur to Dibrugarh Bus,https://www.redbus.in/bus-tickets/north-lakhimpur-to-dibrugarh,Air Bus Travels,NON AC Seater / Sleeper 2+1,21:00,06h 00m,03:00,3.7,400.0,38.0
Tinsukia to Jorhat Bus,https://www.redbus.in/bus-tickets/tinsukia-to-jorhat,NETWORK TRAVELS,Non A/C Seater / Sleeper (2+1),17:00,06h 00m,23:00,3.8,494.0,28.0
Tinsukia to Jorhat Bus,https://www.redbus.in/bus-tickets/tinsukia-to-jorhat,Purple Wings Coaches,A/C Seater / Sleeper (2+1),18:30,05h 45m,00:15,4.2,494.0,35.0
Tinsukia to Jorhat Bus,https://www.redbus.in/bus-tickets/tinsukia-to-jorhat,NETWORK TRAVELS,NON A/C Seater Push Back (2+1),19:00,05h 30m,00:30,4.8,494.0,19.0
Tezpur to North Lakhimpur Bus,https://www.redbus.in/bus-tickets/tezpur-to-north-lakhimpur,Chartered Bus - ASTC,A/C Seater Push Back (2+2),11:00,04h 00m,15:00,3.7,561.58,35.0
Tezpur to North Lakhimpur Bus,https://www.redbus.in/bus-tickets/tezpur-to-north-lakhimpur,Pranjit Travels (Under ASTC),Non AC Seater (2+1),13:10,05h 20m,18:30,3.5,500.0,19.0
Tezpur to North Lakhimpur Bus,https://www.redbus.in/bus-tickets/tezpur-to-north-lakhimpur,Mahadev K.P.,Tata A/C Seater (2+2),11:00,07h 15m,18:15,1.0,460.0,19.0
Tezpur to North Lakhimpur Bus,https://www.redbus.in/bus-tickets/tezpur-to-north-lakhimpur,Mahadev K.P.,Tata A/C Seater (2+2),11:30,07h 00m,18:30,1.0,460.0,19.0
Tezpur to North Lakhimpur Bus,https://www.redbus.in/bus-tickets/tezpur-to-north-lakhimpur,Narayan Travels,AC Seater (2+2),14:20,06h 10m,20:30,1.7,494.0,19.0
